Island
(-81.595 , -222.607)
(-78.666 , -224)
(-78 , -234)
(-74.18 , -235.996)
(-71 , -226.5)
(-73.79 , -214.618)

Mainland
(-19.892311096191406 , 299.5846148431301)
(-12.5 , 294.5)
(-9.397994995117188 , 289.005259513855)
(2.921051025390625 , 282.27551651000977)
(11.245452880859375 , 285.93764877319336)
(18.276519775390625 , 279.69031143188477)
(26.321685791015625 , 282.74585342407227)
(36.301422119140625 , 277.29269790649414)
(35.80000305175781 , 271.3999996185303)
(33.5 , 267.5)
(27.183425903320312 , 263.509822845459)
(30.636367797851562 , 251.0)
(40.115386962890625 , 242.84615325927734)
(58.43440246582031 , 231.21771240234375)
(67.5 , 230.0)
(75.10093688964844 , 231.53749084472656)
(83.1912841796875 , 224.5925064086914)
(76.0 , 222.0)
(76.29058837890625 , 216.61428833007812)
(66.60702514648438 , 210.73068237304688)
(61.600006103515625 , 206.1999969482422)
(44.22850036621094 , 199.33946990966797)
(33.236968994140625 , 188.492919921875)
(29.129623413085938 , 176.7350616455078)
(20.62042236328125 , 169.26625061035156)
(12.51385498046875 , 160.725830078125)
(6.1597137451171875 , 159.6035919189453)
(0.1029510498046875 , 147.14224243164062)
(0.0 , 140.5)
(-1.0317840576171875 , 132.50869750976562)
(-7.427490234375 , 123.2054443359375)
(1.740081787109375 , 106.8018798828125)
(13.5 , 95.5)
(23.190414428710938 , 88.77891540527344)
(26.714950561523438 , 80.35102844238281)
(23.92938232421875 , 73.93061828613281)
(31.880447387695312 , 63.44422912597656)
(46.7462158203125 , 51.75013732910156)
(54.171173095703125 , 41.247589111328125)
(66.60000610351562 , 29.70001220703125)
(78.12066650390625 , 18.982696533203125)
(82.80354309082031 , 19.6212158203125)
(89.83554077148438 , 10.522430419921875)
(100.54583740234375 , -2.99237060546875)
(116.66915893554688 , -17.13665771484375)
(119.5997314453125 , -24.928070068359375)
(124.28839111328125 , -41.353240966796875)
(126.02334594726562 , -54.55517578125)
(129.91571044921875 , -62.529815673828125)
(133.86834716796875 , -75.4149169921875)
(132.5472412109375 , -88.60089111328125)
(134.5 , -100.0)
(135.68630981445312 , -108.50613403320312)
(142.2532958984375 , -119.76602172851562)
(133.36138916015625 , -129.99346923828125)
(133.83798217773438 , -143.0841064453125)
(136.13800048828125 , -157.27810668945312)
(133.20001220703125 , -162.39999389648438)
(126.40585327148438 , -174.58499145507812)
(123.15457153320312 , -184.27926635742188)
(117.61715698242188 , -183.7618408203125)
(112.41419982910156 , -189.13372802734375)
(106.58580017089844 , -189.86627197265625)
(88.82391357421875 , -200.81988525390625)
(83.61778259277344 , -208.21841430664062)
(77.61488342285156 , -209.05126953125)
(67.29678344726562 , -215.2686767578125)
(44.36994934082031 , -222.3839111328125)
(37.461761474609375 , -221.14892578125)
(32.7581787109375 , -236.22210693359375)
(28.793960571289062 , -244.58709716796875)
(27.959609985351562 , -252.345947265625)
(14.02587890625 , -253.752197265625)
(13.244949340820312 , -263.4144287109375)
(2.0 , -267.29998779296875)
(-4.4149017333984375 , -269.86834716796875)
(-11.2926025390625 , -270.7021484375)
(-18.241050720214844 , -277.11993408203125)
(-23.508399963378906 , -286.632080078125)
(-30.62140655517578 , -293.0654296875)
(-38.5 , -294.0)
(-47.9599609375 , -291.92938232421875)
(-44.774871826171875 , -286.76666259765625)
(-45.0 , -279.5)
(-44.0 , -272.5)
(-43.0 , -254.5)
(-41.646697998046875 , -244.3521728515625)
(-34.49809265136719 , -235.8359375)
(-50.37317657470703 , -231.71295166015625)
(-45.29280090332031 , -228.33099365234375)
(-54.50459289550781 , -215.40625)
(-43.170196533203125 , -213.40838623046875)
(-32.592262268066406 , -205.32638549804688)
(-32.38202667236328 , -196.433349609375)
(-17.166664123535156 , -196.88095092773438)
(2.870330810546875 , -199.07882690429688)
(8.7462158203125 , -202.717041015625)
(10.417434692382812 , -194.5831298828125)
(-4.580718994140625 , -192.12246704101562)
(0.5075225830078125 , -187.38067626953125)
(-2.3166656494140625 , -167.7047119140625)
(6.6363372802734375 , -163.51254272460938)
(12.0 , -164.29998779296875)
(20.70916748046875 , -166.84393310546875)
(21.647064208984375 , -160.41177368164062)
(19.95721435546875 , -155.24566650390625)
(31.419158935546875 , -154.70318603515625)
(38.5 , -151.33334350585938)
(48.19343566894531 , -145.74392700195312)
(60.46467590332031 , -142.35037231445312)
(66.37898254394531 , -136.7794189453125)
(67.16683959960938 , -131.5)
(65.51353454589844 , -125.08303833007812)
(64.0 , -119.5)
(64.34649658203125 , -107.6468505859375)
(68.34147644042969 , -95.47769165039062)
(61.60212707519531 , -86.65081787109375)
(61.30751037597656 , -78.83956909179688)
(58.04176330566406 , -74.3095703125)
(58.70570373535156 , -59.5047607421875)
(64.6055908203125 , -50.077850341796875)
(63.847991943359375 , -40.188079833984375)
(61.810150146484375 , -34.895599365234375)
(67.19999694824219 , -30.5)
(69.20669555664062 , -24.45623779296875)
(56.38493347167969 , -14.61505126953125)
(50.32237243652344 , -0.84356689453125)
(60.34971618652344 , 4.131591796875)
(49.63301086425781 , 11.626007080078125)
(37.53515625 , 21.50311279296875)
(30.333328247070312 , 24.666656494140625)
(27.2286376953125 , 29.695404052734375)
(25.423446655273438 , 41.297271728515625)
(16.486572265625 , 53.37763977050781)
(2.42071533203125 , 65.45887756347656)
(-7.408782958984375 , 72.91818237304688)
(-9.279205322265625 , 82.1956787109375)
(-15.236953735351562 , 89.60130310058594)
(-25.17798614501953 , 95.27165222167969)
(-28.83586883544922 , 101.89674377441406)
(-26.68604278564453 , 109.34036254882812)
(-34.5 , 112.66667175292969)
(-44.43199157714844 , 114.2962646484375)
(-53.25379943847656 , 123.05143737792969)
(-62.86736297607422 , 129.06793212890625)
(-75.1536636352539 , 137.37374877929688)
(-66.3915786743164 , 145.30494689941406)
(-69.59991455078125 , 153.22991943359375)
(-53.5 , 152.0)
(-45.85539245605469 , 150.92153930664062)
(-40.99920654296875 , 155.77635192871094)
(-33.45702362060547 , 166.07870483398438)
(-43.17536926269531 , 170.48252868652344)
(-44.85334014892578 , 177.3440399169922)
(-53.88275909423828 , 180.03506469726562)
(-48.57481384277344 , 188.39348602294922)
(-58.80323028564453 , 199.20832061767578)
(-65.3163833618164 , 200.43993377685547)
(-74.37132263183594 , 197.1635971069336)
(-91.18539428710938 , 194.62841033935547)
(-104.51653671264648 , 200.23665618896484)
(-109.88118553161621 , 209.6760025024414)
(-114.22475814819336 , 215.59395599365234)
(-110.79999923706055 , 224.5999984741211)
(-107.23556900024414 , 230.71338653564453)
(-111.74971580505371 , 234.38482666015625)
(-120.0 , 236.5)
(-135.98998498916626 , 254.81999588012695)
(-137.53987836837769 , 262.2213592529297)
(-129.05882358551025 , 272.52941131591797)
(-124.60266780853271 , 277.78422355651855)
(-105.8652458190918 , 264.2550926208496)
(-99.5 , 271.5)
(-92.57572555541992 , 277.88124084472656)
(-86.82572555541992 , 271.49975395202637)
(-81.2727279663086 , 277.2727279663086)
(-79.0 , 274.0)
(-65.92192077636719 , 277.18814277648926)
(-56.35401153564453 , 273.05457305908203)
(-47.923187255859375 , 279.5320739746094)
(-37.81867218017578 , 279.8186740875244)
(-37.38409423828125 , 289.9227294921875)
